review_id,username,rating,review text,date
c2d1873c-de28-411b-ac4c-3846502e1891,Magnus Carlsenn1,1,cepat kali limitnya tiap ngirim 1 pesan harus nunggu 5 jam lagi biar bisa kirim 1 pesan lainya,2025-11-25
91b44f05-cbab-4203-a0c5-0f8dd76f34fb,Fxaa,5,good,2025-11-25
79cba8e2-5e98-4d1b-a54f-55618875c0d6,Baim Baim,1,"sayang banget , udah rame rame dan capek capek bikin cerita epic tetapi cuman 4 chapter doang abis itu kena batasan...untuk penggunaan gratisan kayaknya cuman bisa ngirim beberapa pesan doang deh... dilonggarkan dong batasan pengguna gratisannya , nunggu 5 jam untuk beberapa pesan doang...bukan cuman itu tetapi pesannya juga dibatasin secara permanent jadi kalian gabisa ngobrol lama lama nanti di sesi itu juga bakal terbatas dan harus pindah ke sesi baru ( riset obrolan ).",2025-11-25
633c62d9-8cd6-41b5-af22-fc987bc93bb8,Astuti Dumai,5,sungguh luar biasa,2025-11-25
793f0a74-61fc-4729-b1e0-0293898d6e0b,Atya Burahima,5,Bagus,2025-11-25
709dbc72-5e6e-4a13-9b03-e1cf4b187293,Smartfren 01,5,"good👍, logis, aku suka",2025-11-24
4864b8c4-d5de-4ab3-ae74-e6e27a2a3326,Naufan Nashrullah,5,Ai terbaik untuk menyelesaikan masalah kompleks di orang yang tepat ini adalah alat yang tepat,2025-11-24
d5ad346b-1ea2-4b76-a801-a48ace698a32,aul,5,BAGUS BANGETTT,2025-11-24
c9003f5e-932d-499c-9f75-b1ba8fcfd853,M RIFQI,5,nice,2025-11-24
a5ee5c2a-c779-4d8f-a343-d268cc2da5f8,Navoetsi,5,Terlalu gacor.,2025-11-23
fa38df22-16a9-4d6c-b4c9-7eae2beff13a,Daniel Luangkali,5,"sangat membantuu,terbaikkkk",2025-11-23
1cb50ebf-c6df-45b6-b791-a7baef013be3,Arvand YP,1,"baru sekali tanya, sudah suruh bayar. padahal gak hebat2 banget. banyak. yang gratis bisa tanya seharian.",2025-11-22
ae3a7161-637e-4874-b30e-360e324249e2,Ardiant Necrofergia,3,terlalu banyak batasan waktu ... dan bertele²...,2025-11-22
8e67a525-f293-4867-a5b9-97eed2fa2768,Said Khair,1,"harus pro,GK gratis sayang sekali hapus dah",2025-11-21
2929851d-11d0-47ec-aeea-a9705bec55a0,Yassar Ahmad Shidqi,4,"I've been observing Claude's progress, which is quite impressive, but unfortunately it's still not affordable for those with low incomes. If there were low-budget subscriptions or daily limits, that would be even better.",2025-11-20
1a997128-0b14-4075-9643-9423c9fd96ea,zaskya maulia firdaus,1,dokumen kerap eror dan ya artifact sering eror,2025-11-20
c26c59b0-c019-4548-be93-cc8f2ca095a4,Steven Valianto,4,keren,2025-11-20
afe83c7f-4475-4c3e-9b08-2b6c36cf601a,zd h,1,"pelit banget ni aplikasi, ngasih kuota dikit banget, udah gitu suka banget baru ngasih pesan sekali udah langsung habis kuotanya, pelit banget sumpah ni aplikasi ngasih kuota nya dikit banget lagi, buat model claude sonnet yang b aja kuotanya dikit, kalau model claude yang paling bagus kuotanya dikit mah gua setuju, lah ini claude sonnet yang b aja malah di kasih kuota dikit co, kalah sama openai sumpah",2025-11-20
1885c75b-aa58-40e2-9b06-a903b2081415,Yuka Chan,1,selalu eror masa pemeliharaan sistem. tadi awal download bagus kok lama-lama kok jelek ya,2025-11-20
762ffd91-3914-4f2f-8397-1f8c4e6875b0,Chpp Mniess,5,makasi udah bantu aku ngerjain proposal skripsi semoga Ai claud engga di blokir seperti kabarnya chtgpt mau di blokir,2025-11-20
b8d91d64-4541-4295-b415-783c7c6fda68,Aurora Ewing,5,"apk nya bagus banget semua bagus meski kadang pesan nya terbatas tapi tolong kembalikan Font yang tebal dan tajam nya lagi seperti dulu, aku lebih nyaman pake Claude versi yang Font nya masih tebal dan percakapan nya asik",2025-11-20
24dc5577-3c6a-44e1-85b3-ea2525812362,Salsabila Airi,5,"Secara overall bagus, tapi masalah artefak yg terpotong (meskipun telah dilanjutkan, tetap terpotong dan versi awal, ga ada lanjutannya sama sekali) atau bahkan hilang, tolong diperbaiki. Sebelumnya tidak ada masalah begini. Dan satu lagi, ketika sudah refresh gratisannya, kadang ketika digunakan kembali, malah habis duluan (padahal baru sekali digunakan)",2025-11-20
e58ca8e1-a898-4982-8558-0095058e5998,Ridi Ansyah,5,bagus,2025-11-19
8d48a86e-dba1-4d21-9e78-1d55fcc5297d,Farras,5,AI yang sangat cerdas. Walaupun tidak bisa generate gambar namun gaya bahasa dan penulisan sangat customable juga fleksibel. Harapannya sih untuk biaya langganan diturunkan karena tergolong mahal.,2025-11-19
8ccf9ae5-a027-40af-a747-fc619baf79d6,kill beros,4,"good aplication, tapi penggunaan gratisnya sangat terbatas. overall sangat memuaskan, tapi tidak ramah buat free user.",2025-11-18
38232d52-67ce-46d9-abcb-ba88f26535ff,Rayvhend Manalip,3,"lho, kok gak bisa login?",2025-11-18
aba8e9dc-ec8f-44ed-9cef-078efd7c3263,Boroto tv,3,"hello Claude, please don't change it, change the free limit first, it can be 40, or 35 is enough for me, don't keep changing it, I've only chatted for free once and immediately restarted in 5 hours, please fix the bug",2025-11-18
92db8a2c-95f4-49ab-9041-840a83a20730,Dew_,4,"bagus, cara menjelaskannya juga bagus, tidak terlalu kaku seperti AI lainnya, overall lebih bagus daripada ai yang pernah aku coba lainnya. Namun ada satu hal yang kurang, yaitu kadang suka gak bisa masuk, alias eror, apakah maintenance, dicoba login ulang tetap eror, dan itu benar² di waktu yang tidak pas😮‍💨😮‍💨",2025-11-18
1422ac34-4087-4037-9c78-490e84d8912f,Niken dian Pratiwi,1,kok tiba tiba log out sendiri dan gk bisa login lagi helppp,2025-11-18
bca44c0c-7a0f-4edc-946d-bf655648105e,Azizah Qurrata'ayun Karimah,1,tingkatkan lagi! batas chat dari tiap tiap obrolan!!!,2025-11-18
bf520191-98ea-4f56-9f60-b08a13f394c4,Mocca,5,"masa baru sekali chat bisa langsung kena limit, terus nunggu berjam2 untuk reset, benerin bugnya lah.",2025-11-17
cc84e93e-7e76-4822-b319-d7544f3b39ef,Wiwi Sari,4,ini saya bayar 350 ribu tapi kena batasan waktu pemakaian,2025-11-16
c405acb1-64d9-4c64-abed-0ee446e56c01,Echa Puspita,3,"kadang oke, kadang bisa ngaco, bisa ngarang jawaban kalo dia ga tau, jd tetep harus dicek. trus settingan kurang user friendly, misal mau ganti paket, ga ada opsinya yg bs diklik. membingungkan.",2025-11-16
238e212a-961f-447a-9abd-2e75135be501,Afini Nafia,3,"terlalu cepat kena limit, tapi overall bagus-bagus aja",2025-11-15
0de93c46-2ff2-43ac-a473-0fb085d5c227,Fatih Pulungan,5,saya bisa membuat script untuk game buatan saya di Roblox,2025-11-15
30026f70-7086-4fa8-adf8-5f13e1ed168c,Hisui,1,Dikit dikit kena limit,2025-11-14
dd271192-c92f-4751-9a61-fb09f346e6f3,Aida Ayu,1,"ga membantu, banyak ngeles nya, pemalas, 11/12 macam chatgpt",2025-11-14
9f879aba-2b2b-4927-b3ec-0c36ff5b2c88,Rumakefing,5,bagus mantapppp,2025-11-13
7aedd1ad-7752-409e-9f9d-a4ab54953d29,Ria Merpati,5,love claude ai,2025-11-13
e430254b-72fa-4d55-97e8-03a72bbc0729,Aldi Pranata Nasution,5,baik,2025-11-13
fc2f7862-80b5-4312-89ae-031016d3d496,Monita Ang,5,sangat bagus dan menemai,2025-11-12
4baf78e9-f842-48ce-9c8d-5de53670b1f6,Herlin Susanti,5,super keren bgt gua suka,2025-11-11
